fit,predictor,beta,se,z,p_value,odds_ratio,ci95_low,ci95_high
early,post_trust_within,3.383431514135689,0.6945182595654874,4.87162355710053,1.1068490912657939e-06,29.47173045217126,7.554744113934673,114.97184851613217
early,mean_post_trust,2.0252081652441976,0.5757557838927592,3.5174777603648266,0.0004356688565379883,7.577688191780027,2.4515655704247856,23.422322055980327
early,task_order,0.25111129005980315,0.1320959165644749,1.9009769309351654,0.05730503432455733,1.2854531345272309,0.9922336090707056,1.665323312937826
late,post_trust_within,2.367304367222771,0.4362654668341744,5.426293271391544,5.753639400591469e-08,10.668594873898439,4.536809683855794,25.08787551490111
late,mean_post_trust,3.988376836197094,0.645109445534688,6.182480916693749,6.310194131182051e-10,53.96722059317724,15.240590907260282,191.09894860869358
late,task_order,0.1849533672057336,0.12629191105841472,1.464491000695886,0.143059840170378,1.203162331997969,0.9393390602057993,1.5410831492748074
pooled,post_trust_within,2.708587874710828,0.3640652163759278,7.439842514133468,1.0080540342128082e-13,15.008067272714733,7.352350445553728,30.63538455223449
pooled,mean_post_trust,4.3921108235293636,0.48143875213859694,9.12288594139792,7.314994063467083e-20,80.81081645050504,31.452889953486626,207.62442068294925
pooled,cohort,0.7981276962082066,0.5840592229584224,1.3665184365473553,0.17177629817808215,2.2213779381806535,0.7070680395064973,6.9788473930738135
pooled,graph,4.394357387713203,0.6456611986659465,6.805980283146556,1.0036345823089539e-11,80.99256721734906,22.847950926450544,287.10653159109694
pooled,ai_error_exposed,-1.7619832721831628,0.6451644941321032,-2.7310605096975173,0.0063130879422768306,0.17170399016472832,0.04848476371103942,0.6080726806094827
pooled,task_order,0.19645301489104908,0.08875904103056327,2.2133296237777342,0.026874928698334348,1.2170781349859878,1.0227399941213657,1.448343855892264
